#,Time of Day,Thread,Module,API,Return Value,Error,Duration
5715,41:19.4,1,IGN_TEAS.EXE,GetVersion (  ),602931718,,0.0000018
5717,41:19.4,1,IGN_TEAS.EXE,"HeapCreate ( HEAP_NO_SERIALIZE, 4096, 0 )",0x0a0e0000,,0.000075
5721,41:19.4,1,IGN_TEAS.EXE,"VirtualAlloc ( NULL, 4194304, MEM_RESERVE, PAGE_READWRITE )",0x0a170000,,0.0000144
5724,41:19.4,1,IGN_TEAS.EXE,"VirtualAlloc ( 0x0a170000, 65536, MEM_COMMIT, PAGE_READWRITE )",0x0a170000,,0.0000119
5729,41:19.4,1,IGN_TEAS.EXE,GetStartupInfoA ( 0x001afe34 ),,,0.0001109
5737,41:19.4,1,IGN_TEAS.EXE,GetStdHandle ( STD_INPUT_HANDLE ),NULL,,0.0000015
5739,41:19.4,1,IGN_TEAS.EXE,GetFileType ( NULL ),FILE_TYPE_UNKNOWN,,0.0000214
5744,41:19.4,1,IGN_TEAS.EXE,GetStdHandle ( STD_OUTPUT_HANDLE ),NULL,,0.0000001
5745,41:19.4,1,IGN_TEAS.EXE,GetFileType ( NULL ),FILE_TYPE_UNKNOWN,,0.0000008
5749,41:19.4,1,IGN_TEAS.EXE,GetStdHandle ( STD_ERROR_HANDLE ),NULL,,0.0000001
5750,41:19.4,1,IGN_TEAS.EXE,GetFileType ( NULL ),FILE_TYPE_UNKNOWN,,0.0000094
5755,41:19.4,1,IGN_TEAS.EXE,SetHandleCount ( 32 ),32,,0.0000004
5756,41:19.4,1,IGN_TEAS.EXE,GetACP (  ),65001,,0.0000069
5758,41:19.4,1,IGN_TEAS.EXE,"GetCPInfo ( CP_UTF8, 0x001afe5c )",TRUE,,0.0000062
5759,41:19.4,1,IGN_TEAS.EXE,GetCommandLineA (  ),0x028a6570,,0.000001
5761,41:19.4,1,IGN_TEAS.EXE,GetEnvironmentStringsW (  ),0x028c28f0,,0.0002874
5826,41:19.4,1,IGN_TEAS.EXE,"WideCharToMultiByte ( CP_ACP, 0, ""=::=::\"", 3485, NULL, 0, NULL, NULL )",3485,,0.0000037
5828,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 3488 )",0x0a0e0498,,0.0000125
5829,41:19.4,1,IGN_TEAS.EXE,"WideCharToMultiByte ( CP_ACP, 0, ""=::=::\"", 3485, 0x0a0e0498, 3485, NULL, NULL )",3485,,0.0000013
5831,41:19.4,1,IGN_TEAS.EXE,"FreeEnvironmentStringsW ( ""=::=::\"" )",TRUE,,0.0000072
5833,41:19.4,1,IGN_TEAS.EXE,"GetModuleFileNameA ( NULL, 0x00452760, 260 )",34,,0.0000607
5840,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 1696 )",0x0a0e1250,,0.0000008
5841,41:19.4,1,IGN_TEAS.EXE,"HeapFree ( 0x0a0e0000, 0, 0x0a0e0498 )",TRUE,,0.000001
5842,41:19.4,1,IGN_TEAS.EXE,"GetModuleHandleA ( ""KERNEL32"" )",0x76560000,,0.000014
5856,41:19.4,1,IGN_TEAS.EXE,"GetProcAddress ( 0x76560000, ""IsProcessorFeaturePresent"" )",0x765643c0,,0.0427511
6146,41:19.4,1,IGN_TEAS.EXE,IsProcessorFeaturePresent ( PF_FLOATING_POINT_PRECISION_ERRATA ),FALSE,,0.0000035
6147,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, HEAP_ZERO_MEMORY, 2048 )",0x0a0e0498,,0.0000043
6148,41:19.4,1,IGN_TEAS.EXE,GetStartupInfoA ( 0x001afe88 ),,,0.0000016
6149,41:19.4,1,IGN_TEAS.EXE,GetModuleHandleA ( NULL ),0x00400000,,0.0000014
6150,41:19.4,1,IGN_TEAS.EXE,"LoadCursorA ( NULL, IDC_ARROW )",0x00010003,,0.000054
6152,41:19.4,1,IGN_TEAS.EXE,"LoadIconA ( NULL, IDI_APPLICATION )",0x0001002b,,0.00005
6154,41:19.4,1,IGN_TEAS.EXE,GetStockObject ( BLACK_BRUSH ),0x00900011,,0.0000055
6156,41:19.4,1,IGN_TEAS.EXE,RegisterClassA ( 0x001afe40 ),49770,,0.0005821
6193,41:19.4,1,IGN_TEAS.EXE,timeBeginPeriod ( 1 ),MMSYSERR_NOERROR,,0.0001488
6199,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 4096 )",0x0a0e1908,,0.0000269
6200,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 8416 )",0x0a0e2920,,0.0000229
6201,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 8416 )",0x0a0e4a18,,0.0000008
6202,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 8416 )",0x0a0e6b10,,0.0000182
6203,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 8416 )",0x0a0e8c08,,0.0000183
6204,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 8416 )",0x0a0ead00,,0.0000006
6205,41:19.4,1,IGN_TEAS.EXE,"HeapAlloc ( 0x0a0e0000, 0, 8416 )",0x0a710048,,0.0000338
6206,41:19.4,1,IGN_TEAS.EXE,GetSystemMetrics ( SM_CYSCREEN ),1286,,0.0594363
8193,41:19.6,1,IGN_TEAS.EXE,GetSystemMetrics ( SM_CXSCREEN ),2056,,0.0000011
8196,41:19.6,1,IGN_TEAS.EXE,"CreateWindowExA ( WS_EX_APPWINDOW, ""Ignition"", ""Ignition"", WS_POPUP | WS_SYSMENU, 0, 0, 2056, 1286, NULL, NULL, 0x00400000, NULL )",0x00080a28,,0.0229069
9378,41:19.7,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCCREATE, 0, 1767384 )",1,,0.000067
12366,41:19.9,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCCALCSIZE, 0, 1767364 )",0,,0.0001148
12394,41:19.9,1,IGN_TEAS.EXE,GetSystemMetrics ( SM_CYSCREEN ),1286,,0.0000045
12395,41:19.9,1,IGN_TEAS.EXE,GetSystemMetrics ( SM_CXSCREEN ),2056,,0.0000005
12396,41:19.9,1,IGN_TEAS.EXE,"SetRect ( 0x0043c780, 0, 0, 2056, 1286 )",TRUE,,0.0000047
12397,41:19.9,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_SIZE, 0, 84281352 )",0,,0.000001
12398,41:19.9,1,IGN_TEAS.EXE,GetSystemMetrics ( SM_CYSCREEN ),1286,,0.0000035
12399,41:19.9,1,IGN_TEAS.EXE,GetSystemMetrics ( SM_CXSCREEN ),2056,,0.0000004
12400,41:19.9,1,IGN_TEAS.EXE,"SetRect ( 0x0043c780, 0, 0, 2056, 1286 )",TRUE,,0.0000002
12401,41:19.9,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_MOVE, 0, 0 )",0,,0.0000014
12403,41:19.9,1,IGN_TEAS.EXE,UpdateWindow ( 0x00080a28 ),TRUE,,0.0000092
12404,41:19.9,1,IGN_TEAS.EXE,SetFocus ( 0x00080a28 ),0x00080a28,,0.0431011
12417,41:19.9,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGING, 0, 1768524 )",0,,0.0000005
12440,41:19.9,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_ACTIVATEAPP, 1, 3416 )",0,,0.0000009
12441,41:19.9,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCACTIVATE, 1, 0 )",1,,0.0004059
12450,41:19.9,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_ACTIVATE, 1, 0 )",0,,0.0350318
17458,41:20.3,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_IME_SETCONTEXT, 1, -1073741809 )",0,,0.0016416
17693,41:20.3,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_SETFOCUS, 0, 0 )",0,,0.0000009
17793,41:20.3,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_KILLFOCUS, 526888, 0 )",0,,0.0000008
17876,41:20.3,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_IME_SETCONTEXT, 0, -1073741809 )",0,,0.0000542
17967,41:20.3,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_IME_SETCONTEXT, 1, -1073741809 )",0,,0.000267
18027,41:20.3,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_SETFOCUS, 526888, 0 )",0,,0.0000013
18422,41:20.4,1,IGN_TEAS.EXE,"DirectDrawCreate ( NULL, 0x0043f780, NULL )",DD_OK,,0.017034
21189,41:20.6,1,IGN_TEAS.EXE,"IDirectDraw::SetCooperativeLevel ( 0x00080a28, DDSCL_ALLOWMODEX | DDSCL_ALLOWREBOOT | DDSCL_EXCLUSIVE | DDSCL_FULLSCREEN )",DD_OK,,0.0053611
21284,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGING, 0, 1768012 )",0,,0.0000088
21292,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_SHOWWINDOW, 1, 0 )",0,,0.0000075
21314,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGING, 0, 1768052 )",0,,0.0000002
21323,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCPAINT, 1, 0 )",0,,0.0001636
21340,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_ERASEBKGND, 2684425696, 0 )",1,,0.0000822
21359,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGED, 0, 1768052 )",0,,0.0000041
21395,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGING, 0, 1768012 )",0,,0.0000009
21404,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCPAINT, 1, 0 )",0,,0.0002524
21421,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_ERASEBKGND, 2684425696, 0 )",1,,0.0001566
21475,41:20.6,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGED, 0, 1768012 )",0,,0.0000073
21540,41:20.6,1,IGN_TEAS.EXE,"IDirectDraw::SetDisplayMode ( 640, 480, 8 )",DD_OK,,0.2558734
31435,41:21.1,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGING, 0, 1767692 )",0,,0.0023353
31441,41:21.1,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCCALCSIZE, 1, 1767652 )",0,,0.0018479
31456,41:21.1,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCPAINT, 1, 0 )",0,,0.0014858
31474,41:21.1,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_ERASEBKGND, 939596819, 0 )",1,,0.0017675
31494,41:21.1,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGED, 0, 1767692 )",0,,0.0001244
31504,41:21.1,1,IGN_TEAS.EXE,GetSystemMetrics ( SM_CYSCREEN ),240,,0.0000051
31505,41:21.1,1,IGN_TEAS.EXE,GetSystemMetrics ( SM_CXSCREEN ),320,,0.0000035
31506,41:21.1,1,IGN_TEAS.EXE,"SetRect ( 0x0043c780, 0, 0, 320, 240 )",TRUE,,0.0000002
31507,41:21.1,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_SIZE, 0, 15728960 )",0,,0.0000008
31619,41:21.1,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_WINDOWPOSCHANGING, 0, 1767692 )",0,,0.0000011
31671,41:21.1,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_DISPLAYCHANGE, 8, 31457920 )",0,,0.0000008
31673,41:21.1,1,IGN_TEAS.EXE,"IDirectDraw::CreateSurface ( 0x001afd9c, 0x0043c914, NULL )",DD_OK,,0.0035908
31682,41:21.1,1,IGN_TEAS.EXE,"IDirectDraw::CreatePalette ( DDPCAPS_8BIT, 0x6fc5a788, 0x028f8de0, NULL )",DD_OK,,0.0000772
31952,41:21.1,1,IGN_TEAS.EXE,"IDirectDrawSurface::GetAttachedSurface ( 0x001afd88, 0x001afd74 )",DD_OK,,0.0000043
31956,41:21.1,1,IGN_TEAS.EXE,"IDirectDraw::CreatePalette ( DDPCAPS_8BIT | DDPCAPS_ALLOW256, 0x0043eb78, 0x0043ef78, NULL )",DD_OK,,0.0000329
31965,41:21.1,1,IGN_TEAS.EXE,IDirectDrawSurface::SetPalette ( 0x028acda8 ),DD_OK,,0.0090585
31985,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawPalette::QueryInterface ( IUnknown, 0x001af7bc )",S_OK,,0.0000074
31987,41:21.2,1,IGN_TEAS.EXE,IUnknown::Release (  ),2,,0.0000301
31990,41:21.2,1,IGN_TEAS.EXE,IDirectDrawPalette::Release (  ),2,,0.0000008
32121,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::IsLost (  ),DD_OK,,0.0000115
32122,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::IsLost (  ),DD_OK,,0.0000002
32123,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::GetDC ( 0x001af804 ),DD_OK,,0.00097
32128,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::GetDC ( 0x001af808 ),DD_OK,,0.0003207
32131,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000054
32138,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000042
32145,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),2,,0.0000091
32148,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),1,,0.0000454
32151,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000092
32158,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000061
32165,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),3,,0.0000022
32168,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),1,,0.0000011
32174,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::ReleaseDC ( 0xf1012021 ),DD_OK,,0.0000783
32177,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000035
32184,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000035
32191,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),2,,0.000002
32194,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),1,,0.0000009
32197,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000023
32204,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000018
32211,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),3,,0.0000009
32214,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),1,,0.0000015
32218,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::ReleaseDC ( 0xd4010892 ),DD_OK,,0.0047684
32892,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::IsLost (  ),DD_OK,,0.0000018
32893,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::IsLost (  ),DD_OK,,0.0000002
32894,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::GetDC ( 0x001af804 ),DD_OK,,0.000994
32897,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000115
32904,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000053
32911,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),2,,0.0000036
32914,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),3,,0.0000014
32919,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::GetDC ( 0x001af808 ),DD_OK,,0.0002529
32922,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000061
32929,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000048
32936,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),2,,0.0000023
32939,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),1,,0.0000013
32942,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000023
32949,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000019
32956,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),3,,0.000001
32959,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),1,,0.0000008
32965,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::ReleaseDC ( 0xf3010892 ),DD_OK,,0.0000718
32968,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.000027
32975,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000037
32982,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),2,,0.0000017
32985,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),1,,0.0000015
32988,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000031
32995,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000062
33002,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),3,,0.000002
33005,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),1,,0.0000011
33009,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::ReleaseDC ( 0xa50109fe ),DD_OK,,0.000043
33012,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b4 )",S_OK,,0.0000023
33019,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawSurface::QueryInterface ( IUnknown, 0x001af6b0 )",S_OK,,0.0000029
33026,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),2,,0.0000013
33029,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::Release (  ),3,,0.0000009
33036,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawPalette::GetEntries ( 0, 0, 256, 0x001af844 )",DD_OK,,0.0000395
33040,41:21.2,1,IGN_TEAS.EXE,"IDirectDrawPalette::SetEntries ( 0, 0, 256, 0x001af844 )",DD_OK,,0.0000017
33042,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::IsLost (  ),DD_OK,,0.0000005
33043,41:21.2,1,IGN_TEAS.EXE,IDirectDrawSurface::IsLost (  ),DD_OK,,0.0000002
33044,41:21.2,1,IGN_TEAS.EXE,"ShowWindow ( 0x00080a28, SW_SHOW )",TRUE,,0.0000085
33045,41:21.2,1,IGN_TEAS.EXE,"DirectInputCreateA ( 0x00400000, 768, 0x0043ceb0, NULL )",DI_OK,,0.0635547
39201,41:21.7,1,IGN_TEAS.EXE,"IDirectInputA::CreateDevice ( {6f1d2b61-d5a0-11cf-bfc7-444553540000}, 0x0043d1bc, NULL )",DI_OK,,0.0007992
39295,41:21.7,1,IGN_TEAS.EXE,IDirectInputDeviceA::SetDataFormat ( 0x0040a480 ),,,0.0003068
39703,41:21.7,1,IGN_TEAS.EXE,"IDirectInputDeviceA::SetCooperativeLevel ( 0x00080a28, DISCL_FOREGROUND | DISCL_NONEXCLUSIVE )",DI_OK,,0.0000872
39712,41:21.7,1,IGN_TEAS.EXE,"IDirectInputDeviceA::SetProperty ( DIPROP_BUFFERSIZE, 0x001afde8 )",DI_OK,,0.0000068
39718,41:21.7,1,IGN_TEAS.EXE,IDirectInputDeviceA::Acquire (  ),DI_OK,,0.0168036
39842,41:21.7,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0004885
39872,41:21.7,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_GETICON, 1, 192 )",0,,0.0000071
39873,41:21.7,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.0140263
40792,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000007
40793,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.00001
40794,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.000145
40803,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_GETICON, 2, 192 )",0,,0.000041
40806,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.0001979
40810,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000004
40811,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.000004
40814,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, 49298, 0, 0 )",0,,0.0000006
40815,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0000589
40817,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.0002907
40825,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_GETICON, 0, 192 )",0,,0.0000469
40831,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000002
40832,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.0000017
40833,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0004972
40844,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCHITTEST, 0, 7864480 )",1,,0.0000081
40853,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.000238
40854,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000003
40855,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.0000028
40856,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0000869
40860,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCHITTEST, 0, 7864480 )",1,,0.000007
40869,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.0002827
40873,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_NCHITTEST, 0, 7864480 )",1,,0.0000057
40885,41:21.8,1,IGN_TEAS.EXE,SetCursor ( NULL ),0x00010007,,0.0000566
40886,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000002
40887,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.0000027
40889,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_MOUSEMOVE, 0, 7864480 )",0,,0.0000005
40890,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0004147
40898,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.0001241
40899,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000005
40900,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.000003
40901,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0003995
40903,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.000008
40904,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000002
40905,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.0000635
40911,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, WM_PAINT, 0, 0 )",0,,0.000035
40916,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0000083
40917,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.0000295
40918,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.000011
40919,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.0000622
40922,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0000044
40923,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.0000031
40924,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000001
40925,41:21.8,1,IGN_TEAS.EXE,DispatchMessageA ( 0x001afe24 ),0,,0.0002236
40951,41:21.8,1,IGN_TEAS.EXE,"PeekMessageA ( 0x001afe24, NULL, 0, 0, PM_NOREMOVE )",TRUE,,0.0000113
40952,41:21.8,1,IGN_TEAS.EXE,"GetMessageA ( 0x001afe24, NULL, 0, 0 )",TRUE,,0.0034972
41175,41:21.8,1,IGN_TEAS.EXE,"DefWindowProcA ( 0x00080a28, 49235, 1, 1761968 )",0,,0.0000011
41310,41:21.8,1,IGN_TEAS.EXE,TranslateMessage ( 0x001afe24 ),FALSE,,0.0000005
